Price,end_date,start_date,Categories,lat,lon,Grocery or Liquor,id,storetype
1.0,2017,1999,Grocery 1.0,37.795406,-122.406531,Grocery,061100,low_end_groc
1.0,2017,1998,Grocery 1.0,37.80005,-122.412481,Grocery,010300,low_end_groc
2.0,2013,2009,Grocery 2.0,37.773284,-122.42147,Grocery,020100,high_end_groc
2.0,2017,2013,Grocery 2.0,37.773284,-122.42147,Grocery,020100,high_end_groc
1.0,2017,1999,Liquor 1.0,37.753652,-122.489976,Liquor,032902,low_end_liq
2.0,2011,1968,Grocery 2.0,37.791183,-122.417443,Grocery,011100,high_end_groc
4.0,2017,2002,Grocery 4.0,37.797339,-122.408571,Grocery,010700,high_end_groc
3.0,2016,2001,Grocery 3.0,37.788995,-122.440631,Grocery,013400,high_end_groc
4.0,2017,2001,Liquor 4.0,37.789938,-122.434056,Liquor,013500,high_end_liq
2.0,2017,2001,Grocery 2.0,37.759436,-122.432716,Grocery,020600,high_end_groc
1.0,2017,1968,Grocery 1.0,37.763177,-122.423895,Grocery,020200,low_end_groc
2.0,2017,2002,Grocery 2.0,37.78787,-122.411712,Grocery,012302,high_end_groc
2.0,2017,2006,Liquor 2.0,37.79504,-122.421452,Liquor,011000,high_end_liq
1.0,2017,1968,Grocery 1.0,37.755187,-122.42096,Grocery,021000,low_end_groc
3.0,2017,2006,Grocery 3.0,37.773005,-122.439115,Grocery,016400,high_end_groc
3.0,2017,2006,Grocery 3.0,37.773005,-122.439115,Grocery,016400,high_end_groc
3.0,2017,2006,Grocery 3.0,37.773005,-122.439115,Grocery,016400,high_end_groc
2.0,2017,1968,Grocery 2.0,37.797051,-122.398626,Grocery,010500,high_end_groc
2.0,2017,1968,Grocery 2.0,37.731511,-122.449537,Grocery,031100,high_end_groc
2.0,2017,1968,Grocery 2.0,37.768701,-122.427535,Grocery,020300,high_end_groc
2.0,2017,1968,Grocery 2.0,37.753724,-122.488472,Grocery,032902,high_end_groc
2.0,2017,1968,Grocery 2.0,37.74384600000001,-122.438211,Grocery,021700,high_end_groc
2.0,2017,1968,Grocery 2.0,37.805097,-122.43308,Grocery,012602,high_end_groc
2.0,2017,1968,Grocery 2.0,37.743283,-122.421372,Grocery,025300,high_end_groc
2.0,2017,1968,Grocery 2.0,37.765632,-122.410113,Grocery,017700,high_end_groc
2.0,2017,1971,Grocery 2.0,37.772309,-122.509972,Grocery,047901,high_end_groc
2.0,2017,1974,Grocery 2.0,37.743138,-122.473882,Grocery,030400,high_end_groc
2.0,2017,1980,Grocery 2.0,37.720004,-122.438349,Grocery,026004,high_end_groc
2.0,2017,2010,Grocery 2.0,37.782557,-122.430887,Grocery,015900,high_end_groc
2.0,2017,1991,Grocery 2.0,37.805738,-122.412646,Grocery,010100,high_end_groc
2.0,2017,2004,Grocery 2.0,37.776541,-122.393549,Grocery,060700,high_end_groc
2.0,2017,2007,Grocery 2.0,37.774768,-122.464924,Grocery,045200,high_end_groc
1.0,2017,2007,Grocery 1.0,37.783524,-122.415866,Grocery,012401,low_end_groc
2.0,2017,2007,Grocery 2.0,37.73402100000001,-122.489525,Grocery,033100,high_end_groc
2.0,2017,2007,Grocery 2.0,37.775902,-122.445783,Grocery,015700,high_end_groc
1.0,2017,2007,Liquor 1.0,37.797089,-122.435505,Liquor,013000,low_end_liq
2.0,2017,2006,Liquor 2.0,37.790334,-122.407492,Liquor,011902,high_end_liq
1.0,2017,1968,Liquor 1.0,37.799933,-122.443155,Liquor,012800,low_end_liq
3.0,2017,1969,Liquor 3.0,37.720554,-122.430593,Liquor,026002,high_end_liq
3.0,2017,1971,Liquor 3.0,37.786455,-122.409738,Liquor,012301,high_end_liq
1.0,2017,2007,Grocery 1.0,37.763564,-122.477389,Grocery,032601,low_end_groc
3.0,2017,1971,Grocery 3.0,37.767057,-122.408221,Grocery,017700,high_end_groc
3.0,2017,1972,Grocery 3.0,37.749151,-122.41815,Grocery,020900,high_end_groc
3.0,2017,1973,Grocery 3.0,37.793433,-122.412831,Grocery,011200,high_end_groc
2.0,2017,2006,Grocery 2.0,37.789557,-122.413575,Grocery,011901,high_end_groc
1.0,2017,1974,Liquor 1.0,37.769492,-122.42234,Liquor,020200,low_end_liq
,2011,2009,Grocery nan,37.733319,-122.39113799999998,Grocery,023200,groc
1.0,2017,1974,Grocery 1.0,37.765733,-122.433289,Grocery,016900,low_end_groc
1.0,2017,1990,Grocery 1.0,37.769158,-122.415646,Grocery,017700,low_end_groc
2.0,2017,1975,Grocery 2.0,37.726857,-122.441515,Grocery,025500,high_end_groc
1.0,2017,2005,Liquor 1.0,37.757918,-122.388868,Liquor,022600,low_end_liq
1.0,2017,1976,Liquor 1.0,37.781242,-122.40906,Liquor,017601,low_end_liq
2.0,2017,1976,Grocery 2.0,37.74560200000001,-122.426844,Grocery,021500,high_end_groc
3.0,2017,2000,Liquor 3.0,37.74335900000001,-122.468651,Liquor,030400,high_end_liq
2.0,2017,1976,Grocery 2.0,37.745164,-122.426801,Grocery,021500,high_end_groc
1.0,2017,2007,Grocery 1.0,37.728906,-122.440084,Grocery,025500,low_end_groc
2.0,2017,2007,Liquor 2.0,37.767731,-122.428533,Liquor,020300,high_end_liq
1.0,2017,2007,Liquor 1.0,37.776351,-122.439797,Liquor,016400,low_end_liq
2.0,2017,1977,Liquor 2.0,37.759197,-122.409774,Liquor,022801,high_end_liq
2.0,2017,2007,Liquor 2.0,37.761971,-122.465092,Liquor,030202,high_end_liq
1.0,2017,1978,Liquor 1.0,37.800189,-122.44119,Liquor,012700,low_end_liq
4.0,2017,1978,Grocery 4.0,37.803036,-122.409716,Grocery,010400,high_end_groc
1.0,2017,1978,Grocery 1.0,37.780283,-122.40786,Grocery,017601,low_end_groc
1.0,2017,1978,Liquor 1.0,37.798545,-122.445965,Liquor,012800,low_end_liq
,2015,2007,Grocery nan,37.726197,-122.386615,Grocery,023200,groc
1.0,2017,1998,Liquor 1.0,37.783509,-122.389986,Liquor,061500,low_end_liq
2.0,2017,1999,Grocery 2.0,37.791336,-122.392471,Grocery,061500,high_end_groc
3.0,2017,2001,Grocery 3.0,37.803625,-122.403278,Grocery,010500,high_end_groc
1.0,2017,2009,Liquor 1.0,37.783251,-122.410532,Liquor,012501,low_end_liq
3.0,2017,2007,Grocery 3.0,37.780119,-122.485538,Grocery,047701,high_end_groc
2.0,2017,1980,Grocery 2.0,37.754549,-122.402079,Grocery,061400,high_end_groc
1.0,2016,2007,Liquor 1.0,37.798087,-122.404909,Liquor,010600,low_end_liq
2.0,2017,1980,Grocery 2.0,37.775028000000006,-122.468151,Grocery,045200,high_end_groc
2.0,2017,1980,Liquor 2.0,37.781471,-122.420616,Liquor,012402,high_end_liq
2.0,2017,1980,Liquor 2.0,37.773939,-122.411816,Liquor,017802,high_end_liq
2.0,2017,2008,Liquor 2.0,37.788995,-122.410505,Liquor,012100,high_end_liq
3.0,2017,1980,Grocery 3.0,37.716231,-122.450347,Grocery,031202,high_end_groc
1.0,2017,2007,Grocery 1.0,37.783934,-122.412611,Grocery,012502,low_end_groc
1.0,2017,2007,Grocery 1.0,37.751049,-122.413944,Grocery,022901,low_end_groc
2.0,2017,2007,Grocery 2.0,37.780393,-122.476538,Grocery,047600,high_end_groc
2.0,2017,2007,Grocery 2.0,37.776543,-122.425618,Grocery,016200,high_end_groc
2.0,2017,2007,Liquor 2.0,37.786984,-122.394074,Liquor,061500,high_end_liq
2.0,2017,2009,Liquor 2.0,37.71183900000001,-122.415774,Liquor,026404,high_end_liq
1.0,2017,1982,Liquor 1.0,37.780257,-122.4797,Liquor,047701,low_end_liq
2.0,2017,2013,Liquor 2.0,37.792534,-122.394067,Liquor,061500,high_end_liq
1.0,2017,1982,Grocery 1.0,37.771934,-122.431834,Grocery,016801,low_end_groc
3.0,2017,2007,Liquor 3.0,37.7879,-122.401032,Liquor,061500,high_end_liq
2.0,2017,1982,Grocery 2.0,37.764014,-122.466899,Grocery,030202,high_end_groc
1.0,2017,2007,Grocery 1.0,37.786168,-122.417605,Grocery,012201,low_end_groc
1.0,2017,2008,Grocery 1.0,37.786168,-122.417605,Grocery,012201,low_end_groc
,2017,1983,Grocery nan,37.762873,-122.419471,Grocery,020800,groc
1.0,2017,2007,Grocery 1.0,37.760436,-122.505913,Grocery,035202,low_end_groc
,2017,1983,Grocery nan,37.754861,-122.3987,Grocery,061400,groc
2.0,2017,2008,Liquor 2.0,37.739122,-122.417028,Liquor,025200,high_end_liq
,2017,1983,Grocery nan,37.793483,-122.407792,Grocery,011300,groc
1.0,2017,1983,Grocery 1.0,37.782672,-122.415011,Grocery,012401,low_end_groc
1.0,2017,2008,Grocery 1.0,37.744091,-122.453991,Grocery,030600,low_end_groc
2.0,2017,1984,Grocery 2.0,37.732996,-122.39125,Grocery,023200,high_end_groc
1.0,2017,2004,Grocery 1.0,37.784388,-122.416609,Grocery,012201,low_end_groc
1.0,2017,2007,Grocery 1.0,37.733514,-122.434166,Grocery,031100,low_end_groc
2.0,2017,1984,Grocery 2.0,37.713175,-122.458857,Grocery,031400,high_end_groc
2.0,2017,2007,Liquor 2.0,37.800577,-122.438097,Liquor,012800,high_end_liq
2.0,2017,1997,Grocery 2.0,37.777234,-122.438211,Grocery,015802,high_end_groc
,2013,2008,Grocery nan,37.788436,-122.414865,Grocery,012100,groc
1.0,2017,1985,Grocery 1.0,37.76481,-122.423666,Grocery,020200,low_end_groc
1.0,2017,2012,Grocery 1.0,37.764224,-122.462037,Grocery,030101,low_end_groc
2.0,2016,1985,Liquor 2.0,37.774057,-122.437661,Liquor,016400,high_end_liq
2.0,2017,2005,Grocery 2.0,37.76641,-122.422033,Grocery,020200,high_end_groc
1.0,2017,2004,Liquor 1.0,37.760917,-122.434539,Liquor,020600,low_end_liq
1.0,2017,2008,Grocery 1.0,37.785383,-122.461559,Grocery,040100,low_end_groc
2.0,2017,1986,Grocery 2.0,37.768205,-122.429016,Grocery,016900,high_end_groc
1.0,2017,1986,Grocery 1.0,37.780822,-122.432213,Grocery,016100,low_end_groc
2.0,2017,2007,Liquor 2.0,37.797518,-122.422108,Liquor,010900,high_end_liq
2.0,2017,1987,Grocery 2.0,37.76,-122.39682,Grocery,022702,high_end_groc
2.0,2017,1991,Grocery 2.0,37.73909,-122.416702,Grocery,025200,high_end_groc
3.0,2016,2008,Liquor 3.0,37.785967,-122.397219,Liquor,061500,high_end_liq
3.0,2017,2009,Grocery 3.0,37.786906,-122.411797,Grocery,012302,high_end_groc
3.0,2017,2014,Liquor 3.0,37.784006,-122.398661,Liquor,061500,high_end_liq
2.0,2017,1987,Grocery 2.0,37.80014,-122.441562,Grocery,012800,high_end_groc
1.0,2017,2008,Grocery 1.0,37.761832,-122.419356,Grocery,020800,low_end_groc
1.0,2017,1993,Liquor 1.0,37.545839,-120.984623,Liquor,03603,low_end_liq
2.0,2017,1987,Liquor 2.0,37.727776,-122.403666,Liquor,025702,high_end_liq
2.0,2017,2008,Grocery 2.0,37.78402,-122.481953,Grocery,042601,high_end_groc
1.0,2017,1990,Grocery 1.0,37.798413,-122.425643,Grocery,013000,low_end_groc
2.0,2017,1988,Grocery 2.0,37.76263400000001,-122.432945,Grocery,020300,high_end_groc
1.0,2017,1987,Grocery 1.0,37.789863,-122.43067,Grocery,013500,low_end_groc
3.0,2017,1988,Liquor 3.0,37.786408,-122.411416,Liquor,012302,high_end_liq
1.0,2017,1988,Grocery 1.0,37.797752,-122.40865,Grocery,010700,low_end_groc
1.0,2017,1988,Grocery 1.0,37.768334,-122.419224,Grocery,020100,low_end_groc
1.0,2017,2008,Grocery 1.0,37.780092,-122.483204,Grocery,047701,low_end_groc
2.0,2017,2008,Grocery 2.0,37.7491,-122.417171,Grocery,020900,high_end_groc
2.0,2017,2008,Grocery 2.0,37.767241,-122.428916,Grocery,020300,high_end_groc
1.0,2017,1988,Grocery 1.0,37.777573,-122.425019,Grocery,016200,low_end_groc
1.0,2015,1989,Grocery 1.0,37.780561,-122.473028,Grocery,047600,low_end_groc
2.0,2017,2000,Liquor 2.0,37.779676,-122.42351200000002,Liquor,016200,high_end_liq
2.0,2017,1996,Liquor 2.0,37.778099,-122.403035,Liquor,017802,high_end_liq
1.0,2017,2009,Grocery 1.0,37.763972,-122.468097,Grocery,030202,low_end_groc
1.0,2017,2009,Grocery 1.0,37.780757,-122.468603,Grocery,045200,low_end_groc
3.0,2017,1992,Liquor 3.0,37.76148,-122.449084,Liquor,030102,high_end_liq
2.0,2017,2009,Grocery 2.0,37.80801,-122.417427,Grocery,010100,high_end_groc
2.0,2017,1989,Liquor 2.0,37.798435,-122.407453,Liquor,010600,high_end_liq
1.0,2017,2011,Grocery 1.0,37.75257,-122.412989,Grocery,022901,low_end_groc
1.0,2017,1989,Grocery 1.0,37.776253,-122.427926,Grocery,016300,low_end_groc
2.0,2017,1989,Grocery 2.0,37.775961,-122.408848,Grocery,017802,high_end_groc
1.0,2017,1989,Grocery 1.0,37.738675,-122.468303,Grocery,030800,low_end_groc
1.0,2017,2004,Grocery 1.0,37.764874,-122.422667,Grocery,020200,low_end_groc
3.0,2017,1990,Grocery 3.0,37.762598,-122.43538999999998,Grocery,020500,high_end_groc
1.0,2017,2009,Grocery 1.0,37.784174,-122.478601,Grocery,042601,low_end_groc
3.0,2017,2004,Grocery 3.0,37.776346,-122.411768,Grocery,017601,high_end_groc
2.0,2017,2009,Liquor 2.0,37.795464,-122.418303,Liquor,011000,high_end_liq
1.0,2012,2007,Grocery 1.0,37.751147,-122.413954,Grocery,022901,low_end_groc
1.0,2017,2007,Grocery 1.0,37.750416,-122.418268,Grocery,020900,low_end_groc
1.0,2017,2007,Grocery 1.0,37.749044,-122.41814,Grocery,020900,low_end_groc
2.0,2017,1990,Grocery 2.0,37.739359,-122.418742,Grocery,025401,high_end_groc
1.0,2017,1991,Liquor 1.0,37.72195900000001,-122.39305,Liquor,023400,low_end_liq
1.0,2017,1991,Grocery 1.0,37.773293,-122.436119,Grocery,016700,low_end_groc
2.0,2017,2009,Grocery 2.0,37.762625,-122.395809,Grocery,022702,high_end_groc
,2017,2009,Grocery nan,37.795223,-122.418255,Grocery,011000,groc
1.0,2017,1991,Liquor 1.0,37.752439,-122.415175,Liquor,022901,low_end_liq
1.0,2017,2009,Grocery 1.0,37.748924,-122.418128,Grocery,020900,low_end_groc
3.0,2017,1991,Grocery 3.0,37.757699,-122.434695,Grocery,020600,high_end_groc
2.0,2017,2000,Grocery 2.0,37.790673,-122.412259,Grocery,011902,high_end_groc
1.0,2017,2010,Grocery 1.0,37.789495,-122.40111,Grocery,061500,low_end_groc
1.0,2017,2009,Grocery 1.0,37.780147,-122.482069,Grocery,047701,low_end_groc
2.0,2017,2011,Liquor 2.0,37.763998,-122.467391,Liquor,030202,high_end_liq
1.0,2017,2012,Grocery 1.0,37.759573,-122.388374,Grocery,022600,low_end_groc
1.0,2017,2012,Liquor 1.0,37.789149,-122.408557,Liquor,011700,low_end_liq
2.0,2017,1997,Grocery 2.0,37.792472,-122.434576,Grocery,013200,high_end_groc
,2017,2009,Liquor nan,37.793425,-122.4029,Liquor,011700,liq
1.0,2017,1997,Grocery 1.0,37.78865,-122.423678,Grocery,015100,low_end_groc
2.0,2017,2009,Grocery 2.0,37.770968,-122.42446,Grocery,020200,high_end_groc
1.0,2017,2009,Grocery 1.0,37.781859,-122.415559,Grocery,012401,low_end_groc
1.0,2017,1998,Grocery 1.0,37.774211,-122.430883,Grocery,016300,low_end_groc
1.0,2017,2009,Grocery 1.0,37.783076,-122.432666,Grocery,015900,low_end_groc
2.0,2017,2013,Grocery 2.0,37.782275,-122.446817,Grocery,015700,high_end_groc
,2017,1997,Grocery nan,37.794187,-122.40793700000002,Grocery,011300,groc
,2015,2010,Grocery nan,37.767887,-122.422186,Grocery,020200,groc
1.0,2017,1997,Grocery 1.0,37.731859,-122.405354,Grocery,025702,low_end_groc
1.0,2016,1997,Grocery 1.0,37.775529,-122.431155,Grocery,016300,low_end_groc
,2017,2010,Grocery nan,37.784306,-122.409714,Grocery,012501,groc
1.0,2017,1997,Grocery 1.0,37.779538,-122.406928,Grocery,017802,low_end_groc
1.0,2017,1997,Grocery 1.0,37.763532,-122.478204,Grocery,032601,low_end_groc
3.0,2017,2005,Grocery 3.0,37.74505900000001,-122.452481,Grocery,030600,high_end_groc
3.0,2017,2011,Grocery 3.0,37.760809,-122.436422,Grocery,020500,high_end_groc
2.0,2017,1997,Liquor 2.0,37.788857,-122.434245,Liquor,013500,high_end_liq
1.0,2017,2010,Grocery 1.0,37.782997,-122.46358,Grocery,040100,low_end_groc
2.0,2017,2009,Grocery 2.0,37.782675,-122.422538,Grocery,016000,high_end_groc
1.0,2017,1997,Grocery 1.0,37.763277,-122.483849,Grocery,032601,low_end_groc
1.0,2014,2010,Grocery 1.0,37.785199,-122.417686,Grocery,012201,low_end_groc
2.0,2017,1997,Liquor 2.0,37.751565,-122.406259,Liquor,022903,high_end_liq
1.0,2017,1998,Liquor 1.0,37.714255,-122.469395,Liquor,031302,low_end_liq
1.0,2016,2010,Grocery 1.0,37.792038,-122.415924,Grocery,011100,low_end_groc
2.0,2017,2009,Liquor 2.0,37.785996,-122.411412,Liquor,012302,high_end_liq
1.0,2017,1997,Grocery 1.0,37.798299,-122.408763,Grocery,010700,low_end_groc
2.0,2017,2003,Liquor 2.0,37.721561,-122.437166,Liquor,026004,high_end_liq
2.0,2010,2004,Grocery 2.0,37.720813,-122.435576,Grocery,026004,high_end_groc
1.0,2017,1998,Liquor 1.0,37.789622,-122.407011,Liquor,011700,low_end_liq
1.0,2013,2009,Grocery 1.0,37.796806,-122.407678,Grocery,010700,low_end_groc
1.0,2017,1998,Grocery 1.0,37.79413,-122.407926,Grocery,011300,low_end_groc
1.0,2017,1997,Liquor 1.0,37.742431,-122.489792,Liquor,032901,low_end_liq
1.0,2017,2010,Grocery 1.0,37.7943,-122.406032,Grocery,061100,low_end_groc
1.0,2017,2010,Grocery 1.0,37.787786,-122.41989,Grocery,012000,low_end_groc
,2017,1998,Grocery nan,37.798495,-122.409504,Grocery,010700,groc
,2014,1998,Grocery nan,37.796405,-122.408387,Grocery,011300,groc
2.0,2017,2011,Grocery 2.0,37.746734,-122.413534,Grocery,025200,high_end_groc
2.0,2015,2013,Grocery 2.0,37.7389,-122.414467,Grocery,025200,high_end_groc
,2017,2010,Grocery nan,37.79531,-122.409838,Grocery,011300,groc
1.0,2017,2009,Grocery 1.0,37.725542,-122.434162,Grocery,025500,low_end_groc
2.0,2017,2010,Liquor 2.0,37.735633,-122.390493,Liquor,061200,high_end_liq
2.0,2017,2011,Grocery 2.0,37.782764,-122.393242,Grocery,061500,high_end_groc
1.0,2017,2010,Grocery 1.0,37.785855,-122.419735,Grocery,012202,low_end_groc
2.0,2012,2010,Liquor 2.0,37.709547,-122.45051,Liquor,026200,high_end_liq
